Feature,Importance_Sales,Importance_Margin,Importance_Qty,Importance_Cls
Num_Transactions,0.752237969155023,0.04130458182355173,0.7588764599831191,0.022815980031507175
Inventory_Level,0.02793948742139228,0.08234765976834833,0.017709629183862104,0.03325246818087294
Avg_Discount_Inv,0.026058436372021657,0.02616335363477009,0.012827338892171792,0.05634026573160842
Units_Ordered,0.018822392488368946,0.03268128195902444,0.0237165891839891,0.031243287894939548
Holiday_Days,0.017537502551462584,0.12312270489143683,0.0165972145741201,0.037869268030609124
Avg_Unit_Cost,0.015417852966787873,0.35508806094957496,0.011493183375548839,0.1607434756709639
MonthNum,0.014671404064210492,0.019436201314913408,0.010708976665259549,0.027111851476685052
Avg_Discount_Sales,0.013907668923343566,0.09515974336294768,0.03243468221289041,0.043106416722919476
Competitor_Pricing,0.0137060427809077,0.02339763344461655,0.02990315965746055,0.04087875006501251
New_Customers,0.013124977053379196,0.026044458023357246,0.006782531224092071,0.02534266744172301
Demand_Forecast,0.011134123457478981,0.023956624922579692,0.01064177519004685,0.0464005228562297
Online_Txn,0.011128255733101881,0.013323568379596624,0.007698922479597622,0.027018743756016175
Recommended_Order_Qty,0.009267301627737904,0.004414592349118874,0.00616093472504781,0.03643293808087137
Avg_Unit_Price,0.008249709883273693,0.05898070138191572,0.0074786357596629,0.14576585000399978
Retail_Txn,0.0070809337827133605,0.006528846163659613,0.013891800258462188,0.017133191389501742
Seasonality_enc,0.007052131048864681,0.001434319124007389,0.0034519360674944376,0.012732808869171382
Price_vs_Competitor,0.006832447150618492,0.04889932713773237,0.006313454039592333,0.16079215893535936
Category_enc,0.0060472884766904645,0.001926268689954368,0.006100473177343993,0.011716336178661971
Returning_Customers,0.005775993253685734,0.006379660519409508,0.0038078674703165066,0.01963649509435386
Region_enc,0.005165621483121075,0.005783921419355885,0.004898968758671797,0.014728215247357138
Weather_Mode_enc,0.005055841994225403,0.0008903115455581633,0.00623879477929741,0.016216718923413313
Quarter,0.0037600901538808523,0.0001120280574066811,0.0022520817866208596,0.012164871651660471
Fulfillment_Rate,2.446771727049471e-05,5.378755467032e-06,7.365943945398716e-06,0.0
Year,2.0604604398609317e-06,0.0026187723816968288,7.2246113862801086e-06,0.000556717766562439
